class,counts,accuracy
-1,76,0.10526315789473684
-2,202,0.2524752475247525
-3,260,0.3192307692307692
-4,64,0.734375
0,847,0.8358913813459268
1,93,0.11827956989247312
2,348,0.32471264367816094
3,1218,0.645320197044335
4,291,0.31958762886597936
